part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Govde.stl,-0.0001,-1.0000,0.0004,29.01,2648.6,199,59.00,95.47,0.470,22.40,-11.51,-29.00,12.80,18.80,31.49,-29.01,11.00,43.04,20.48,-29.00,29.17
Alt_Govde.stl,-0.0001,-1.0000,0.0004,-20.99,2668.0,189,47.25,95.47,0.591,22.00,-11.31,20.99,12.75,18.80,31.49,20.99,11.15,42.83,20.16,21.00,30.69
Alt_Govde.stl,-0.0001,1.0000,0.0004,-20.99,2665.5,189,47.22,95.41,0.592,22.00,-11.31,-20.99,12.40,18.80,31.49,-20.99,10.80,42.83,21.90,-21.00,30.99
Alt_Govde.stl,-0.0001,1.0000,0.0004,29.01,2652.1,199,59.00,95.65,0.470,22.00,-11.31,29.00,12.40,18.80,31.49,29.01,10.80,42.83,20.48,29.00,29.17
Alt_Govde.stl,0.0000,0.0000,-1.0000,-40.00,648.0,4,58.00,40.50,0.276,8.40,35.80,24.80,40.00,8.40,35.80,-25.20,40.00,50.00,19.75,0.00,40.00
Alt_Govde.stl,-0.0002,0.0002,1.0000,20.00,648.0,4,58.00,40.50,0.276,8.40,35.80,-24.80,20.01,8.40,35.80,25.20,20.00,50.00,19.75,0.00,20.00
Alt_Govde.stl,-1.0000,0.0000,0.0000,-40.00,316.4,12,20.00,58.00,0.273,8.40,40.00,24.80,35.80,8.40,40.00,24.80,24.60,11.20,40.00,0.00,30.00
Alt_Govde.stl,1.0000,0.0000,-0.0012,-0.54,316.4,12,20.00,58.00,0.273,8.40,-0.51,24.80,24.20,8.40,-0.49,24.80,35.40,11.20,-0.50,0.00,30.00
Alt_Govde.stl,-0.0001,1.0000,0.0004,59.91,75.8,10,7.00,10.82,1.001,7.60,0.41,59.91,-6.80,0.00,0.00,0.00,0.00,0.00,0.00,59.91,-6.50
Alt_Govde.stl,-1.0000,0.0000,0.0000,59.94,60.7,8,7.00,8.66,1.001,7.60,-59.94,0.53,-6.80,0.00,0.00,0.00,0.00,0.00,-59.94,0.00,-6.50
